Sum of covid_deaths,Column Labels,,
Row Labels,2020,2021,Grand Total
Australia,909,0,909
Austria,6324,4272,10596
Belgium,19701,5239,24940
Britain,74237,53793,128030
Bulgaria,7678,10142,17820
Canada,15914,6298,22212
Chile,16767,12401,29168
Colombia,43965,33889,77854
Croatia,4072,3110,7182
Cyprus,131,205,336
Czech Republic,11960,17707,29667
Denmark,1374,1145,2519
Ecuador,14059,6750,20809
Estonia,244,1022,1266
Finland,561,387,948
France,65164,43593,108757
Germany,34791,54458,89249
Greece,4957,5496,10453
Hungary,9884,19291,29175
Iceland,29,0,29
Israel,3416,2988,6404
Italy,75332,35698,111030
Latvia,680,1690,2370
Lithuania,1938,2369,4307
Luxembourg,495,301,796
Malta,220,197,417
Mexico,127213,91772,218985
Montenegro,689,116,805
Netherlands,11707,6247,17954
New Zealand,25,1,26
Norway,436,349,785
Peru,93575,92498,186073
Poland,29119,45454,74573
Portugal,7118,9905,17023
Romania,15979,11415,27394
Slovakia,2317,9907,12224
Slovenia,2803,1550,4353
South Africa,29175,28531,57706
South Korea,981,767,1748
Spain,50837,28783,79620
Sweden,8727,5724,14451
Switzerland,7747,3085,10832
Tunisia,4466,2744,7210
Turkey,10440.5,,10440.5
United States,356874,232751,589625
Grand Total,1175030.5,894040,2069070.5
